name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Brussels,Belgium",2023-09-25,21.9,12.4,16.3,21.9,12.4,16.3,10.5,69.3,0,0,0,,0,0,34,21,169.1,1021.8,77.9,10,152,13,7,10,2023-09-25T07:32:51,2023-09-25T19:35:00,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-26,22.6,12.8,16.8,22.6,12.8,16.8,12.7,78.4,0,0,0,,0,0,25.9,12.6,167.2,1020.5,76.8,9.9,139.1,12,7,10,2023-09-26T07:34:25,2023-09-26T19:32:45,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-27,23.8,12.2,17.9,23.8,12.2,17.9,13.8,78.8,0,0,0,,0,0,35.5,21.9,152.6,1017.9,62.5,10,118,10.2,7,10,2023-09-27T07:36:00,2023-09-27T19:30:30,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-28,20.9,14.9,18.2,20.9,14.9,18.2,13.9,76.7,0,0,0,,0,0,39.2,14.8,218.7,1016.6,54.4,10.6,125.1,11,6,10,2023-09-28T07:37:34,2023-09-28T19:28:15,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,remote,06458099999,06451099999"
"Brussels,Belgium",2023-09-29,20.1,11.9,17.2,20.1,11.9,17.2,14.7,85.6,0.725,100,12.5,rain,0,0,45.2,24,220.4,1018.1,68.4,9.3,60.2,5.1,3,10,2023-09-29T07:39:09,2023-09-29T19:26:00,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-30,19,10.7,14,19,10.7,14,11.3,85.5,1.785,100,8.33,rain,0,0,19.4,9.6,201.9,1026.4,33.3,9.8,142.5,12.3,7,10,2023-09-30T07:40:44,2023-09-30T19:23:46,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-01,24.1,11.7,17.2,24.1,11.7,17.2,12.6,76.1,0,0,0,,0,0,30.9,17.2,191.6,1023.5,0,10,170.8,14.7,6,10,2023-10-01T07:42:19,2023-10-01T19:21:31,0.57,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-02,25.9,14.9,19.8,25.9,14.9,19.8,14.7,74.3,0,0,0,,0,0,32.2,22.4,175.9,1018.8,45,10,137.8,12,5,10,2023-10-02T07:43:54,2023-10-02T19:19:18,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-03,22.3,13.5,17.8,22.3,13.5,17.8,12.4,71.5,0.098,100,12.5,rain,0,0,54.4,27.3,245.3,1016.8,59.9,10,79.2,6.9,7,10,2023-10-03T07:45:30,2023-10-03T19:17:04,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-04,18,10.6,13.8,18,10.6,13.8,10.4,80.4,0.001,100,4.17,rain,0,0,37.8,18,229.1,1027.4,39.8,10,81.4,7,3,10,2023-10-04T07:47:06,2023-10-04T19:14:51,0.66,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-05,17.4,12.1,14.1,17.4,12.1,14.1,10.7,80.5,0,0,0,rain,0,0,29.2,13.5,225.8,1026,74.3,11.2,84.1,7.2,5,10,2023-10-05T07:48:42,2023-10-05T19:12:39,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,F4778,06447099999,remote,06458099999,06451099999"
"Brussels,Belgium",2023-10-06,19.5,11.2,14.8,19.5,11.2,14.8,10.7,77.1,0,0,0,,0,0,35.9,19.3,215.8,1025.3,39.4,10,116.2,10,5,10,2023-10-06T07:50:18,2023-10-06T19:10:26,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-07,22.1,13.3,17.1,22.1,13.3,17.1,12.9,77.5,0,0,0,,0,0,40.7,20.8,230.8,1024,30.7,10,128.5,11.1,5,10,2023-10-07T07:51:55,2023-10-07T19:08:15,0.76,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-08,22.6,12.7,17.2,22.6,12.7,17.2,12.2,73.2,0,0,0,,0,0,28.9,13,228.2,1024.9,25.4,10,129.5,11.2,5,10,2023-10-08T07:53:32,2023-10-08T19:06:04,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-09,20.1,14.5,16.6,20.1,14.5,16.6,13.5,82.3,0,0,0,,0,0,19.6,11,237.5,1022,71.7,10,71.4,6.2,3,10,2023-10-09T07:55:09,2023-10-09T19:03:53,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-10-10,24.4,12.2,17.5,24.4,12.2,17.5,11.7,72,0,0,0,,0,0,35.2,19,203.2,1019.4,46.7,9.9,116.4,10.1,6,10,2023-10-10T07:56:47,2023-10-10T19:01:43,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
